transition_id,cik,coname,classification,succ_total,succ_salary,succ_name_parsed,succ_accession,succ_status,pred_total,pred_salary,pred_name_parsed,pred_accession,pred_status,comp_ratio_succ_over_pred
2910,78814,PITNEY BOWES INC,external,,,Marc B. Lautenbach President and Chief Executive Officer,0000930413-14-001458,ok,,,"The committee is responsible for determining the compensation for all NEOs, other than the CEO, and for recommending to the board of directors each specific element of compensation for the CEO. Recommendations from the CEO are taken into account by the committee. The independent board members are responsible for determining the CEOs compensation. No member of the management team, including the CEO, has a role in determining his or her own compensation. For each NEO, the committee sets target total direct compensation levels so the base salary, total cash compensation, and total direct compensation is at +/ 20% of the median of the competitive data based on the Towers Watson General Industry Executive Compensation Survey Report, as regressed for companies approximately our size (Towers Watson Regressed Compensation Report) and as described in more detail under Assessing Competitive Practice  Benchmarking beginning on page 59 of this proxy statement), for each position. For 2012, the total target cash compensation (base salary plus annual incentive) and total target direct compensation (base salary plus annual incentive plus long-term incentive) for Mr. Lautenbach was 82% and 101%, respectively, of the market median for chief executive officers in the Towers Watson Regressed Compensation Report. For the NEOs as a group, excluding our former CEO, the average total target cash compensation and total direct compensation was 93% and 106%, respectively, of the market median in the Towers Watson Regressed Compensation Report.",0000930413-13-001828,ok,
2658,73309,NUCOR CORP,internal,,,John J. Ferriola,0001193125-14-114117,ok,,,Daniel R. DiMicco,0001193125-13-128184,ok,
2380,65984,ENTERGY CORP,internal,,,Leo P. Denault,0000065984-14-000105,ok,,,J. Wayne Leonard,0000065984-13-000064,ok,
8204,1075531,BOOKING HOLDINGS INC,external,,,"President, Chief Executive",0001075531-14-000018,ok,,,Jeffery H. Boyd,0001075531-13-000020,ok,
7534,861878,STERICYCLE INC,internal,,,Charles A. Alutto(4)(5)(6) President and Chief Executive Officer,0001193125-14-139917,ok,,,Mark C. Miller(4) Chairman of the Board and Chief Executive Officer,0001193125-13-150852,ok,
3889,106040,WESTERN DIGITAL CORP,external,,,Stephen D. Milligan,0001193125-14-350255,ok,,,President and Chief Executive Officer,0001193125-13-382437,ok,
2164,936468,LOCKHEED MARTIN CORP,internal,,,Marillyn A. Hewson President and Chief Executive Officer,0001308179-14-000062,ok,,,Robert J. Stevens Chairman & Chief Executive Officer,0001308179-13-000050,ok,
7361,1020569,IRON MOUNTAIN INC,external,,,William L. Meaney(8),0001047469-15-003454,ok,,,C. Richard Reese,0001047469-13-004771,ok,
3201,1012100,SEALED AIR CORP,external,,,Jerome A. Peribere,0001193125-15-117069,ok,,,William V. Hickey Chairman and Chief Executive Officer,0001193125-13-143313,ok,
6476,898293,JABIL INC,internal,,,Mark T. Mondello Chief Executive Officer,0001193125-15-398278,ok,,,Chief Executive Officer,0001193125-13-475281,ok,
2575,1164727,NEWMONT MINING CORP,internal,,,President and Chief Executive Officer,0001193125-15-078993,ok,,,Chief Executive,0001193125-13-096228,ok,
203,6281,ANALOG DEVICES,internal,,,"Vincent T. Roche,",0001193125-15-024609,ok,,,Jerald G. Fishman,0001193125-13-031061,ok,
5069,712515,ELECTRONIC ARTS INC,internal,,,ANDREW WILSON,0001193125-15-237104,ok,,,JOHN S. RICCITIELLO(14),0001193125-13-259589,ok,
3816,899689,VORNADO REALTY TRUST,internal,,,Steven Roth,0001047469-15-003360,ok,,,Michael D. Fascitelli,0001047469-13-004310,ok,
